nbElements: 2153
indexFenetre, indexVoletGauche, indexVoletDroit, 
862, 1820, 1672, 
863, 1157, 2088, 
864, 1336, 1417, 
865, 301, 1641, 
866, 1368, 598, 
867, 184, 2101, 
868, 1706, 1390, 
869, 1382, 1178, 
870, 1930, 482, 
871, 760, 445, 
872, 1526, 1015, 
873, 591, 1222, 
874, 1707, 113, 
875, 303, 1862, 
876, 1709, 92, 
877, 829, 1687, 
878, 1723, 258, 
879, 1801, 1611, 
880, 1529, 1596, 
881, 1712, 1078, 
882, 1987, 1250, 
883, 2141, 178, 
884, 1566, 1272, 
885, 187, 1989, 
886, 1399, 330, 
887, 456, 731, 
888, 1034, 1822, 
889, 2045, 2, 
890, 16, 1759, 
891, 1793, 1181, 
892, 1655, 193, 
893, 1900, 1696, 
894, 1983, 593, 
895, 843, 1912, 
896, 1042, 1189, 
897, 1608, 133, 
898, 2046, 791, 
899, 109, 1771, 
900, 1227, 1730, 
901, 1984, 428, 
902, 697, 902, 
903, 2010, 1987, 
904, 1903, 1405, 
905, 1866, 1626, 
906, 1374, 1039, 
907, 1255, 256, 
908, 2029, 1394, 
909, 1757, 1190, 
910, 1737, 1295, 
911, 211, 843, 
912, 566, 636, 
913, 1236, 239, 
914, 1862, 1237, 
915, 230, 338, 
916, 1260, 2017, 
917, 1871, 259, 
918, 842, 1523, 
919, 583, 1319, 
920, 1060, 1616, 
921, 696, 358, 
922, 101, 8, 
923, 2054, 2024, 
924, 1487, 652, 
925, 2037, 1388, 
926, 282, 2028, 
927, 419, 1198, 
928, 680, 112, 
929, 529, 1904, 
930, 874, 469, 
931, 1996, 906, 
932, 81, 770, 
933, 1981, 411, 
934, 1577, 1031, 
935, 2081, 417, 
936, 94, 1307, 
937, 1545, 132, 
938, 326, 1512, 
939, 354, 340, 
940, 2031, 854, 
941, 1816, 1977, 
942, 1524, 2142, 
943, 553, 243, 
944, 1061, 821, 
945, 1850, 929, 
946, 927, 1443, 
947, 1240, 1159, 
948, 2067, 1072, 
949, 1598, 497, 
950, 2116, 3, 
951, 424, 120, 
952, 1654, 46, 
953, 434, 152, 
954, 1602, 1160, 
955, 129, 2035, 
956, 1201, 1714, 
957, 1795, 657, 
958, 876, 95, 
959, 1644, 1381, 
960, 1006, 2112, 
961, 1502, 1853, 
962, 1335, 545, 
963, 205, 1469, 
964, 765, 822, 
965, 992, 581, 
966, 771, 1083, 
967, 152, 1386, 
968, 233, 1261, 
969, 1846, 381, 
970, 1770, 546, 
971, 493, 938, 
972, 1098, 1832, 
973, 286, 649, 
974, 900, 730, 
975, 709, 851, 
976, 984, 431, 
977, 1815, 772, 
978, 1878, 832, 
979, 2039, 269, 
980, 1179, 1151, 
981, 309, 1897, 
982, 929, 365, 
983, 1910, 1883, 
984, 2128, 104, 
985, 751, 2037, 
986, 1968, 303, 
987, 1313, 405, 
988, 818, 151, 
