nbElements: 2153
indexFenetre, indexVoletGauche, indexVoletDroit, 
948, 1750, 1144, 
949, 112, 539, 
950, 520, 572, 
951, 160, 1428, 
952, 94, 1356, 
953, 2124, 30, 
954, 1364, 446, 
955, 2037, 983, 
956, 1308, 308, 
957, 768, 457, 
958, 700, 144, 
959, 2016, 704, 
960, 50, 609, 
961, 861, 1668, 
962, 600, 185, 
963, 1366, 413, 
964, 1816, 251, 
965, 770, 1407, 
966, 1444, 1014, 
967, 1124, 865, 
968, 1355, 2020, 
969, 1571, 284, 
970, 668, 1486, 
971, 388, 1451, 
972, 969, 2085, 
973, 228, 1874, 
974, 115, 231, 
975, 1112, 376, 
976, 633, 1965, 
977, 249, 1806, 
978, 2114, 1857, 
979, 2066, 1649, 
980, 1639, 1530, 
981, 678, 130, 
982, 1949, 383, 
983, 430, 828, 
984, 814, 11, 
985, 2113, 784, 
986, 963, 1021, 
987, 1149, 1547, 
988, 275, 550, 
989, 1781, 857, 
990, 1893, 1653, 
991, 1273, 1243, 
992, 752, 736, 
993, 590, 836, 
994, 1465, 1698, 
995, 535, 1103, 
996, 930, 1984, 
997, 1714, 1630, 
998, 695, 1556, 
999, 1584, 1922, 
1000, 1945, 2093, 
1001, 1998, 1533, 
1002, 175, 1882, 
1003, 905, 297, 
1004, 58, 124, 
1005, 437, 2048, 
1006, 947, 986, 
1007, 526, 1537, 
1008, 576, 464, 
1009, 1180, 571, 
1010, 438, 710, 
1011, 2128, 1171, 
1012, 1921, 695, 
1013, 1265, 1208, 
1014, 866, 1266, 
1015, 1151, 2062, 
1016, 1030, 699, 
1017, 88, 1002, 
1018, 1052, 1264, 
1019, 451, 1067, 
1020, 258, 1071, 
1021, 22, 1520, 
1022, 436, 1479, 
1023, 650, 1248, 
1024, 52, 349, 
1025, 1148, 1372, 
1026, 1963, 2010, 
1027, 994, 1826, 
1028, 153, 1982, 
1029, 993, 953, 
1030, 1609, 1696, 
1031, 1849, 61, 
1032, 1585, 2095, 
1033, 796, 798, 
1034, 227, 1914, 
1035, 991, 1307, 
1036, 347, 1097, 
1037, 1959, 76, 
1038, 871, 280, 
1039, 618, 1988, 
1040, 1204, 1268, 
1041, 1647, 346, 
1042, 1393, 602, 
1043, 1074, 863, 
1044, 1625, 2040, 
1045, 1700, 1065, 
1046, 1991, 1886, 
1047, 571, 402, 
1048, 2030, 1658, 
1049, 472, 754, 
1050, 1612, 1599, 
1051, 1044, 694, 
1052, 987, 1974, 
1053, 628, 1069, 
1054, 544, 965, 
1055, 2100, 1519, 
1056, 551, 2065, 
1057, 257, 3, 
1058, 1814, 1276, 
1059, 867, 598, 
1060, 1082, 1341, 
1061, 1589, 1340, 
1062, 1788, 1665, 
1063, 681, 1253, 
1064, 2116, 423, 
1065, 168, 1462, 
1066, 1731, 1848, 
1067, 1660, 1101, 
1068, 229, 582, 
1069, 1735, 476, 
1070, 680, 653, 
1071, 2055, 259, 
1072, 1744, 642, 
1073, 1868, 1815, 
1074, 956, 1301, 
1075, 2035, 434, 
1076, 1691, 545, 
1077, 1510, 665, 
1078, 833, 2011, 
1079, 1301, 1168, 
1080, 1287, 1647, 
1081, 1683, 289, 
1082, 792, 1140, 
1083, 881, 958, 
1084, 944, 1679, 
1085, 874, 1995, 
1086, 162, 1704, 
1087, 434, 1521, 
1088, 923, 360, 
1089, 452, 1939, 
1090, 694, 462, 
1091, 376, 603, 
1092, 1698, 1224, 
1093, 556, 833, 
1094, 454, 722, 
1095, 132, 70, 
1096, 1160, 2117, 
1097, 1004, 696, 
1098, 878, 1278, 
1099, 1246, 157, 
1100, 1376, 1196, 
1101, 164, 111, 
1102, 1110, 426, 
1103, 2010, 611, 
1104, 1491, 1660, 
1105, 1628, 403, 
1106, 1995, 395, 
1107, 1019, 610, 
1108, 1889, 1363, 
1109, 45, 419, 
1110, 222, 971, 
1111, 1855, 197, 
1112, 1693, 767, 
1113, 1872, 2052, 
1114, 1997, 478, 
1115, 629, 1135, 
1116, 974, 1442, 
1117, 274, 1358, 
1118, 579, 803, 
1119, 592, 235, 
1120, 107, 1242, 
1121, 1996, 43, 
1122, 934, 1482, 
1123, 216, 1959, 
1124, 1094, 1761, 
1125, 143, 1808, 
1126, 1529, 748, 
1127, 19, 1286, 
1128, 540, 1446, 
1129, 166, 1835, 
1130, 209, 2113, 
1131, 1821, 318, 
1132, 1602, 234, 
1133, 2106, 164, 
1134, 1681, 2137, 
1135, 517, 886, 
1136, 1500, 589, 
1137, 1394, 13, 
1138, 914, 69, 
1139, 1484, 932, 
1140, 597, 1868, 
1141, 195, 1622, 
1142, 842, 1610, 
1143, 892, 1558, 
1144, 1695, 2149, 
1145, 825, 1773, 
1146, 625, 54, 
1147, 1159, 1846, 
1148, 16, 208, 
1149, 2062, 1589, 
1150, 2007, 926, 
1151, 588, 924, 
1152, 919, 963, 
1153, 635, 326, 
1154, 1990, 1674, 
1155, 1673, 371, 
1156, 674, 1958, 
1157, 1350, 1003, 
1158, 513, 1891, 
1159, 138, 1759, 
1160, 1161, 1973, 
1161, 890, 504, 
1162, 2083, 1057, 
1163, 1836, 239, 
1164, 2149, 2124, 
1165, 315, 577, 
1166, 1015, 590, 
1167, 1642, 682, 
1168, 1007, 1769, 
1169, 1796, 1680, 
1170, 1901, 222, 
1171, 431, 169, 
1172, 697, 1492, 
1173, 1306, 2152, 
1174, 156, 1644, 
1175, 1940, 1624, 
1176, 1636, 1313, 
1177, 886, 815, 
1178, 1395, 671, 
1179, 1482, 718, 
1180, 1649, 1881, 
1181, 1917, 691, 
1182, 1324, 1942, 
1183, 989, 1452, 
1184, 605, 2088, 
1185, 1671, 1361, 
1186, 498, 940, 
1187, 541, 1254, 
1188, 1340, 1019, 
1189, 1386, 1650, 
1190, 1326, 467, 
1191, 582, 573, 
1192, 1588, 987, 
1193, 1168, 410, 
1194, 970, 936, 
1195, 1018, 1838, 
1196, 1384, 1889, 
1197, 1975, 1937, 
1198, 1107, 1695, 
1199, 598, 579, 
1200, 1618, 211, 
1201, 1059, 1598, 
1202, 734, 90, 
1203, 1006, 20, 
1204, 340, 1972, 
1205, 2067, 236, 
1206, 490, 1120, 
1207, 1166, 204, 
1208, 865, 686, 
1209, 1454, 88, 
1210, 302, 1172, 
1211, 1785, 474, 
1212, 1637, 541, 
1213, 450, 715, 
1214, 238, 296, 
1215, 92, 1351, 
1216, 1258, 1742, 
1217, 1970, 1044, 
1218, 2026, 330, 
1219, 201, 745, 
1220, 284, 158, 
1221, 2131, 1247, 
1222, 1041, 728, 
1223, 157, 2017, 
1224, 67, 1309, 
1225, 263, 1951, 
1226, 1694, 143, 
